"name" "taxon" "taxon.lable" "G_norm_mean"
"104" "Burmeistera cylindrocarpa" "Plants" 2 0.967239932681506
"105" "Burmeistera lutosa" "Plants" 2 0.967239932681506
"106" "Burmeistera multiflora" "Plants" 2 0.967239932681506
"107" "Burmeistera rubrosepala" "Plants" 2 0.967239932681506
"108" "Burmeistera smaragdi" "Plants" 2 0.967239932681506
"109" "Burmeistera sodiroana" "Plants" 2 0.967239932681506
"110" "Burmeistera succulenta" "Plants" 2 0.967239932681506
"111" "Burmeistera truncata" "Plants" 2 0.967239932681506
"112" "Byrsonima spicata" "Plants" 2 0.967239932681506
"113" "Calliandra laxa" "Plants" 2 0.967239932681506
"114" "Calophyllum brasiliense" "Plants" 2 0.967239932681506
"115" "Calophyllum longifolium" "Plants" 2 0.967239932681506
"116" "Calycolpus warszewiczianus" "Plants" 2 0.967239932681506
"117" "Calyptrogyne ghiesbreghtiana" "Plants" 2 0.967239932681506
"118" "Capsicum annuum" "Plants" 2 0.967239932681506
"119" "Carica papaya" "Plants" 2 1.68259875313936
"120" "Carludovica palmata" "Plants" 2 0.967239932681506
"121" "Carnegiea gigantea" "Plants" 2 0.967239932681506
"122" "Caryocar brasiliense" "Plants" 2 0.967239932681506
"123" "Cecropia angustifolia" "Plants" 2 0.967239932681506
"124" "Cecropia concolor" "Plants" 2 0.967239932681506
"125" "Cecropia distachya" "Plants" 2 0.967239932681506
"126" "Cecropia ficifolia" "Plants" 2 0.967239932681506
"127" "Cecropia glaziovii" "Plants" 2 0.967239932681506
"128" "Cecropia hololeuca" "Plants" 2 0.967239932681506
"129" "Cecropia insignis" "Plants" 2 0.967239932681506
"130" "Cecropia membranacea" "Plants" 2 0.967239932681506
"131" "Cecropia obtusa" "Plants" 2 0.967239932681506
"132" "Cecropia obtusifolia" "Plants" 2 0.967239932681506
"133" "Cecropia pachystachya" "Plants" 2 0.967239932681506
"134" "Cecropia palmata" "Plants" 2 0.967239932681506
"135" "Cecropia peltata" "Plants" 2 1.37277503453395
"136" "Cecropia schreberiana" "Plants" 2 0.967239932681506
"137" "Cecropia sciadophylla" "Plants" 2 0.967239932681506
