name
Carollia perspicillata
Artibeus lituratus
Artibeus jamaicensis
Glossophaga soricina
Artibeus planirostris
Carollia castanea
Sturnira lilium
Sturnira parvidens
Carollia brevicauda
Phyllostomus discolor
Anoura caudifer
Artibeus phaeotis
Sturnira giannae
Sturnira ludovici
Glossophaga commissarisi
