name,code
Ochroma pyramidale,Ochpyr
Oenocarpus distichus,Oendis
Pachira quinata,Pacqui
Pachycereus pecten-aboriginum,Pacpec
Pachycereus pringlei,Pacpri
Pachycereus weberi,Pacweb
Paliavana prasinata,Palpra
Parkia cachimboensis,Parcac
Parkia gigantocarpa,Pargig
Parkia igneiflora,Parign
Parkia nitida,Parnit
Parkia pendula,Parpen
Parkia platycephala,Parpla
Passiflora amethystina,Pasame
Passiflora mucronata,Pasmuc
Passiflora penduliflora,Paspen
Passiflora punctata,Paspun
Passiflora quadrangularis,Pasqua
Persea americana,Perame
Phenakospermum guyannense,Pheguy
Philodendron appendiculatum,Phiapp
Philodendron cuneatum,Phicun
Physalis angulata,Phyang
Phytolacca rivinoides,Phyriv
Pilosocereus catingicola,Pilcat
Pilosocereus chrysacanthus,Pilchr
Pilosocereus lanuginosus,Pillan
Pilosocereus moritzianus,Pilmor
Pilosocereus tillianus,Piltil
Pimenta racemosa,Pimrac
Piper aduncum,Pipadu
Piper aequale,Pipaeq
Piper amalago,Pipama
Piper arboreum,Piparb
Piper augustum,Pipaug
Piper auritum,Pipaur
Piper bartlingianum,Pipbar
Piper bisasperatum,Pipbis
Piper carrilloanum,Pipcar
Piper cenocladum,Pipcen
Piper colonense,Pipcol
Piper cordulatum,Pipcor
Piper crassinervium,Pipcra
Piper cyrtopodon,Pipcyr
Piper darienense,Pipdar
Piper dilatatum,Pipdil
Piper divaricatum,Pipdiv
Piper dotanum,Pipdot
Piper epigynium,Pipepi
Piper friedrichsthalii,Pipfri
Piper gaudichaudianum,Pipgau
Piper gibbosum,Pipgib
Piper glabratum,Pipgla
Piper glabrescens,Pipgla
Piper grande,Pipgra
Piper hieronymi,Piphie
Piper hispidum,Piphis
Piper hostmannianum,Piphos
Piper jacquemontianum,Pipjac
Piper lanceifolium,Piplan
Piper lapathifolium,Piplap
Piper marginatum,Pipmar
Piper mollicarium,Pipmol
Piper multiplinervium,Pipmul
Piper nigrum,Pipnig
Piper obliquum,Pipobl
Piper peltatum,Pippel
Piper phytolaccifolium,Pipphy
Piper pseudofuligineum,Pippse
Piper reticulatum,Pipret
Piper sancti-felicis,Pipsaf
Piper sanctum,Pipsan
Piper trigonum,Piptri
Piper tuberculatum,Piptub
Piper tucumanum,Piptuc
Piper umbellatum,Pipumb
Pitcairnia brongniartiana,Pitbro
Plinia cauliflora,Plicau
Poraqueiba sericea,Porser
Poulsenia armata,Pouarm
Pouteria campechiana,Poucam
Pouteria multiflora,Poumul
Pouteria reticulata,Pouret
Pouteria sapota,Pousap
Praecereus euchlorus smithianus,
Protium araguense,Proara
Prunus persica,Pruper
Pseudanamomis umbellulifera,Pseumb
Pseudobombax ellipticum,Pseell
Pseudobombax grandiflorum,Psegra
Pseudobombax septenatum,Psesep
Pseudolmedia glabrata,Psegla
Psidium guajava,Psigua
Psidium guianense,Psigui
Putranjiva roxburghii,Putrox
Quararibea asterolepis,Quaast
Quararibea cordata,Quacor
Quararibea funebris,Quafun
Quararibea ochrocalyx,Quaoch
Quararibea parvifolia,Quapar
Randia armata,Ranarm
Rollinia exsucca,Rolexs
Rollinia mucosa,Rolmuc
Roystonea borinquena,Roybor
Roystonea oleracea,Royole
Rubus brasiliensis,Rubbra
Sacoglottis guianensis,Sacgui
Sapindus saponaria,Sapsap
Saurauia montana,Saumon
Schlegelia paraensis,Schpar
Schultesianthus venosus,Schven
Senna fructicosa,Senfru
Senna undulata,Senund
Sideroxylon capiri,Sidcap
Sideroxylon foetidissimum,Sidfoe
Sinningia brasiliensis,Sinbra
Siphocampylus sulfureus,Sipsul
Socratea exorrhiza,Socexo
Solanum aligerum,Solali
Solanum americanum,Solame
Solanum aphyodendron,Solaph
Solanum arboreum,Solarb
Solanum argenteum,Solarg
Solanum asperolanatum,Solasp
Solanum asperum,Solasp
Solanum caavurana,Solcaa
Solanum cinnamomeum,Solcin
Solanum confusum,Solcon
Solanum erianthum,Soleri
Solanum grandiflorum,Solgra
Solanum granuloso-leprosum,Solgra
Solanum hayesii,Solhay
Solanum hazenii,Solhaz
Solanum hirtum,Solhir
Solanum jamaicense,Soljam
Solanum lanceolatum,Sollan
Solanum leucocarpon,Solleu
Solanum megalochiton,Solmeg
Solanum nigricans,Solnig
Solanum nudum,Solnud
Solanum ochraceo-ferrugineum,
Solanum paniculatum,Solpan
Solanum paranense,Solpar
Solanum pseudocapsicum,Solpse
Solanum pseudoquina,Solpse
Solanum quitoense,Solqui
Solanum riparium,Solrip
Solanum rovirosanum,Solrov
Solanum rudepannum,Solrud
Solanum rufescens,Solruf
Solanum rugosum,Solrug
Solanum salviaefolium,SolSal
Solanum sanctae-catharinae,Solsan
Solanum scuticum,Solscu
Solanum subinerme,Solsub
Solanum subsylvestre,Solsub
Solanum swartzianum,Solswa
Solanum sycophanta,Solsyc
Solanum symmetricum,Solsym
Solanum tenuispinum,Solten
Solanum torvum,Soltor
Solanum trichoneuron,Soltri
Solanum umbellatum,Solumb
Solanum variabile,Solvar
Solanum wrightii,Solwri
Souroubea guianensis,Sougui
Spathodea campanulata,Spacam
Spondias dulcis,Spodul
Spondias mombin,Spomom
Spondias radlkoferi,Sporad
Stenocereus griseus,Stegri
Stenocereus queretaroensis,Steque
Stenocereus stellatus,Steste
Stenocereus thurberi,Stethu
Syagrus romanzoffiana,Syarom
Syzygium cumini,Syzcum
Syzygium jambos,Syzjam
Syzygium malaccense,Syzmal
Terminalia catappa,Tercat
Tetrastylis ovalis,Tetova
Thespesia populnea,Thepop
Thoracocarpus bissectus,Thobis
